idJson,site,title,description,analysis_date,possible_false_positive,provide_api_reference,provide_metadata,provide_descriptive_metadata,provide_data_license_information,provide_data_provenance_information,provide_a_version_indicator,gather_feedback_from_data_consumers,provide_bulk_download,provide_data_up_to_date,use_persistent_URIs_as_identifiers_of_datasets,use_machine_readable_standardized_data_formats,provide_data_in_multiple_formats,cite_the_original_publication
33,https://dados.es.gov.br/dataset/doencas-e-agravos-de-notificacao/resource/e78f7efa-fa1b-49b7-bcaf-81f461a59ef3,Doencas e Agravos de Notificacao  Chikungunya - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,1,0,1,0,1,0,0
34,https://dados.es.gov.br/dataset/portal-da-transparencia-seguranca,[Portal da Transparencia] Alvaras concedidos pelo CBMES  Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,1,0,1,0,1,1,0
35,https://dados.es.gov.br/dataset/activity/ijsn-matriz-de-insumo-produto-mip-das-microrregioes,Fluxo de Atividades - [IJSN] Matriz de Insumo Produto - MIP das Microrregioes  Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,0,0,0,0,0,1,0,0
36,https://dados.es.gov.br/dataset/activity/roubo-em-transporte-publico-jan-a-set-2023,Fluxo de Atividades - ROUBO EM TRANSPORTE PUBLICO - JAN A SET 2023  Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,0,0,0,0,0,1,0,0
37,https://dados.es.gov.br/dataset?tags=seguran%C3%A7a+p%C3%BAblica&_tags_limit=0,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
38,https://dados.es.gov.br/dataset?license_id=cc-by&tags=sigefes,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
39,https://dados.es.gov.br/dataset/portal-da-transparencia-compras-publicas/resource/b6c5d1ff-0d8e-4986-b153-774dccff3f83,[Portal da Transparencia] Compras Publicas  ItensLotes-2012.csv - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,1,0
40,https://dados.es.gov.br/dataset?tags=ambiental&tags=seama,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
41,https://dados.es.gov.br/dataset/activity/procedimentos-instaurados-pela-pces-abril-2023,Fluxo de Atividades - PROCEDIMENTOS INSTAURADOS PELA PCES ABRIL 2023  Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,0,0,0,0,0,1,0,0
42,https://dados.es.gov.br/dataset?res_format=CSV&page=4,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
43,https://dados.es.gov.br/dataset/activity/ijsn-comercio-varejista,Fluxo de Atividades - [IJSN] Comercio Varejista  Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,0,0,0,0,0,1,0,0
44,https://dados.es.gov.br/dataset/activity/portal-da-transparencia-receitas,Fluxo de Atividades - [Portal da Transparencia] Receitas  Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,0,0,0,0,0,1,0,0
45,https://dados.es.gov.br/organization/about/sesa,Sobre - SESA - Secretaria de Estado da Saude - Organizacoes - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,https://dados.es.gov.br/dataset/portal-da-transparencia-pessoal/resource/9df488f6-cffc-47e1-9071-07138e49120e,[Portal da Transparencia] Pessoal  Remuneracoes-11_2016.csv - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,1,0
47,https://dados.es.gov.br/dataset/portal-da-transparencia-pessoal/resource/c7b3818b-f6b3-4c9d-b0a1-94d8d3c66b25,[Portal da Transparencia] Pessoal  Remuneracoes-10_2023.csv - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,1,0
48,https://dados.es.gov.br/group/educacao,Educacao - Grupos - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
49,https://dados.es.gov.br/dataset?license_id=cc-by&tags=seguran%C3%A7a+p%C3%BAblica,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50,https://dados.es.gov.br/dataset?groups=economia,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
51,https://dados.es.gov.br/dataset/roubo-em-residencia-jan-e-fev-2023,ROUBO EM RESIDENCIA - JAN E FEV 2023  Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,1,0,1,0,1,0,0
52,https://dados.es.gov.br/dataset?organization=setades-secretaria-de-trabalho-assistencia-e-desenvolvimento-social&tags=portal+da+transpar%C3%AAncia,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
53,https://dados.es.gov.br/dataset/observatorio-mulheres-lideranca-e-participacao-politica/resource/084c4c71-dee0-4255-83b2-8eb93bcddea7,Observatorio MulherES  ES_SAUDE_NASCVIVOS_2010.csv - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,1,0
54,https://dados.es.gov.br/dataset/portal-da-transparencia-contratos/resource/b423d494-3c3a-42c0-8d46-03b82729e12f,[Portal da Transparencia] Contratos  Empenhos-2006.csv - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,1,0
55,https://dados.es.gov.br/dataset?_groups_limit=0&page=2,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
56,https://dados.es.gov.br/dataset/portal-da-transparencia-patrimonio/resource/cd13617f-d1e4-4509-a221-0f9b61ab523e,[Portal da Transparencia] Patrimonio  Patrimonios-2015.csv - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,1,0
57,https://dados.es.gov.br/dataset?tags=geoiema&groups=meio-ambiente,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
58,https://dados.es.gov.br/dataset/activity/convenios-com-municipios-capixabas,Fluxo de Atividades - Convenios com municipios capixabas  Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,0,0,0,0,0,1,0,0
59,https://dados.es.gov.br/dataset/monitor_de_dados_fluviometricos_por_telemetria_agerh_es/resource/ef089aaf-1232-4f20-be85-0de64a1e2014,Monitor de Dados Fluviometricos por Telemetria AGERH-ES  monitor_vazoes_agerh - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,1,1,0,0,1,0,0,1,0,1,0,0
60,https://dados.es.gov.br/dataset/portal-da-transparencia-despesas-execucao-orcamentaria-e-financeira/resource/508996c9-d7c7-4e3b-b1d6-57fe4cd5a27a,[Portal da Transparencia] Despesas - Execucao orcamentaria e financeira  OrcamentosExecucoes-2018.csv - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,1,0
61,https://dados.es.gov.br/dataset?res_format=pagina+web&_tags_limit=0,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,https://dados.es.gov.br/dataset/iegm/resource/09ddac85-b041-4701-b80b-1b86433f7a70,[TCEES] IEGM - Indice de Efetividade da Gestao Municipal - Controle Externo TCEES  IEGM 2018 - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,0,0
63,https://dados.es.gov.br/dataset/groups/obras-publicas,[TCEES] Obras Publicas  Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
64,https://dados.es.gov.br/dataset?_organization_limit=0&tags=seguran%C3%A7a+p%C3%BAblica,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
65,https://dados.es.gov.br/dataset/activity/relatorio-de-projetos-de-pesquisa-cientifica-e-desenvolvimento-rural,Fluxo de Atividades - Relatorio de Projetos de Pesquisa Cientifica e Desenvolvimento Rural  Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,1,1,0,0,0,0,0,0,0,1,0,0
66,https://dados.es.gov.br/dataset/portal-da-transparencia-despesas-execucao-orcamentaria-e-financeira/resource/b34ae52a-a739-412a-9bab-80f53ba72f4f,[Portal da Transparencia] Despesas - Execucao orcamentaria e financeira  Despesas-2024.csv - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,1,0
